t,nodes,edges,degre_moyen,taille_composante_geante,longueur_moyenne_chemins,coefficient_clustering,efficacite_globale,efficacite_locale,scenario
0,100,1958,39.16,1.0,1.881010101010101,0.7505135935947181,0.6584867724867587,0.8687513529490257,sans_panne
1,100,1952,39.04,1.0,1.8822222222222222,0.7499900127200738,0.657863876863863,0.8684890400441826,sans_panne
2,100,1951,39.02,1.0,1.8824242424242423,0.7497206432684156,0.657762866762853,0.8683451146932977,sans_panne
3,100,1953,39.06,1.0,1.8818181818181818,0.7495559000546713,0.6579985569985431,0.8682632592966325,sans_panne
4,100,1956,39.12,1.0,1.8808080808080807,0.7491199510253413,0.6583857623857485,0.868139195187406,sans_panne
5,100,1959,39.18,1.0,1.8814141414141414,0.7496871697295608,0.6586685906685769,0.8684977204849967,sans_panne
6,100,1962,39.24,1.0,1.8846464646464647,0.7482047930678098,0.6583823953823816,0.8673505904742785,sans_panne
7,100,1959,39.18,1.0,1.8864646464646464,0.7483075892965637,0.6578773448773312,0.8674040339034227,sans_panne
8,100,1961,39.22,1.0,1.8812121212121211,0.7477508545452632,0.6584665704665569,0.8671596570859633,sans_panne
9,100,1963,39.26,1.0,1.8795959595959595,0.7448160351655693,0.6588807118806983,0.8656367515117787,sans_panne
10,100,1966,39.32,1.0,1.8763636363636365,0.7447079866496229,0.6595036075035939,0.865810467547132,sans_panne
11,100,1961,39.22,1.0,1.878989898989899,0.7453116813972521,0.6587864357864223,0.8661064584262645,sans_panne
12,100,1955,39.1,1.0,1.8822222222222222,0.7441459101417219,0.6579514189514055,0.86551981409441,sans_panne
13,100,1958,39.16,1.0,1.882020202020202,0.744438870824769,0.6581871091870956,0.8656721252633187,sans_panne
14,100,1956,39.12,1.0,1.8854545454545455,0.7444286403226781,0.6575776815776677,0.8656877633520704,sans_panne
15,100,1958,39.16,1.0,1.8844444444444444,0.7439404566267409,0.6578807118806982,0.865524053797948,sans_panne
16,100,1960,39.2,1.0,1.883030303030303,0.7441564131744139,0.6581534391534254,0.8656284872487615,sans_panne
17,100,1965,39.3,1.0,1.8804040404040403,0.7446242959760325,0.6588302068301932,0.8658805058858712,sans_panne
18,100,1967,39.34,1.0,1.8785858585858586,0.7449677260003681,0.6591938431938298,0.8660461188220658,sans_panne
19,100,1970,39.4,1.0,1.8773737373737374,0.7453927034796198,0.6595810485810351,0.8662559414473044,sans_panne
20,100,1967,39.34,1.0,1.8781818181818182,0.7448493962493332,0.6592443482443348,0.8659836398168396,sans_panne
21,100,1963,39.26,1.0,1.8791919191919193,0.7440121134230795,0.6588066378066242,0.8655589347822145,sans_panne
22,100,1961,39.22,1.0,1.8816161616161615,0.7436990484277912,0.6583251563251427,0.8653890360967774,sans_panne
23,100,1960,39.2,1.0,1.8866666666666667,0.7436652096690076,0.6577628667628531,0.8653655112311671,sans_panne
24,100,1959,39.18,1.0,1.8874747474747475,0.7438443723020746,0.6575608465608329,0.8654764052700721,sans_panne
25,100,1959,39.18,1.0,1.8884848484848484,0.7425150919637911,0.6574261664261526,0.8647482383127338,sans_panne
26,100,1958,39.16,1.0,1.89010101010101,0.7307560946450206,0.6571467051466913,0.85085848954537,sans_panne
27,100,1959,39.18,1.0,1.8896969696969697,0.7312653511052295,0.6572073112072975,0.8511133642033704,sans_panne
28,100,1957,39.14,1.0,1.8909090909090909,0.7312179598474838,0.6568706108705971,0.8510893154375107,sans_panne
29,100,1952,39.04,1.0,1.8907070707070708,0.7308715224282138,0.6565170755170618,0.850881534405614,sans_panne
30,100,1952,39.04,1.0,1.89010101010101,0.731200824779621,0.656584415584402,0.8510322336350059,sans_panne
31,100,1948,38.96,1.0,1.888080808080808,0.7310247984915813,0.6564632034631898,0.850934667535017,sans_panne
32,100,1953,39.06,1.0,1.881010101010101,0.7301460097688717,0.657793169793156,0.8505124776448418,sans_panne
33,100,1952,39.04,1.0,1.8832323232323231,0.73337319965549,0.6574227994227858,0.8530423008191969,sans_panne
34,100,1956,39.12,1.0,1.8854545454545455,0.7344229988254811,0.6573083213083076,0.8535934297853413,sans_panne
35,100,1961,39.22,1.0,1.8826262626262626,0.7344007450572778,0.6580658970658834,0.8535920286816855,sans_panne
36,100,1963,39.26,1.0,1.8826262626262626,0.7339509112444467,0.6582174122173986,0.853277886781902,sans_panne
37,100,1965,39.3,1.0,1.8824242424242423,0.7345275124022536,0.6583857623857486,0.853606504371175,sans_panne
38,100,1971,39.42,1.0,1.8775757575757577,0.7327952124798803,0.6594733044732909,0.8527109420679246,sans_panne
39,100,1970,39.4,1.0,1.8775757575757577,0.7329579692077638,0.6594227994227858,0.8528056164223736,sans_panne
40,100,1971,39.42,1.0,1.877979797979798,0.7331046933107594,0.65946320346319,0.8528965246156782,sans_panne
41,100,1971,39.42,1.0,1.8763636363636365,0.7335545329209323,0.6597325637325505,0.8531169365332736,sans_panne
42,100,1971,39.42,1.0,1.8757575757575757,0.7336562321865833,0.6597931697931567,0.8531565575896596,sans_panne
43,100,1972,39.44,1.0,1.8729292929292929,0.7335730090659993,0.6601534391534263,0.8531171593317259,sans_panne
44,100,1980,39.6,1.0,1.855959595959596,0.733383536657878,0.6625137085136955,0.8535131114291731,sans_panne
45,100,1982,39.64,1.0,1.8553535353535353,0.7337727694265667,0.6627493987493855,0.85371962453964,sans_panne
46,100,1976,39.52,1.0,1.8573737373737373,0.7335840585850564,0.6620086580086445,0.8536314689795019,sans_panne
47,100,1971,39.42,1.0,1.8597979797979798,0.7327642959537155,0.6613184223184086,0.853213793211796,sans_panne
48,100,1975,39.5,1.0,1.8591919191919193,0.732052512522895,0.661688792688779,0.8528625246377475,sans_panne
49,100,1970,39.4,1.0,1.860808080808081,0.7315766746752155,0.6610827320827184,0.852615401997637,sans_panne
50,100,1971,39.42,1.0,1.8595959595959597,0.7321542428126968,0.6613520923520788,0.8532529349019917,sans_panne
51,100,1976,39.52,1.0,1.8575757575757577,0.7316324835994367,0.6619749879749746,0.8530132429791959,sans_panne
52,100,1972,39.44,1.0,1.861010101010101,0.7313074940155385,0.6612005772005639,0.8528444349313485,sans_panne
