t,nodes,edges,degre_moyen,taille_composante_geante,longueur_moyenne_chemins,coefficient_clustering,scenario
82,70,1669,23.114285714285714,0.9857142857142858,2.049445865302643,0.7072329069347991,attaque_betweenness
83,70,1671,23.142857142857142,0.9857142857142858,2.0524296675191818,0.7082423960484736,attaque_betweenness
84,70,1670,23.17142857142857,0.9857142857142858,2.052003410059676,0.7082559686403878,attaque_betweenness
85,70,1674,23.257142857142856,0.9857142857142858,2.049019607843137,0.7079137288617456,attaque_betweenness
86,70,1676,23.314285714285713,0.9857142857142858,2.047314578005115,0.7092327565618491,attaque_betweenness
87,70,1678,23.4,0.9857142857142858,2.0426257459505544,0.7097444355686191,attaque_betweenness
88,70,1679,23.428571428571427,0.9857142857142858,2.0413469735720375,0.7102343692367952,attaque_betweenness
89,70,1679,23.428571428571427,0.9857142857142858,2.0413469735720375,0.7102343692367952,attaque_betweenness
90,70,1680,23.485714285714284,0.9857142857142858,2.0302642796248933,0.7064025772434196,attaque_betweenness
91,70,1677,23.457142857142856,0.9857142857142858,2.029838022165388,0.7073497319422267,attaque_betweenness
92,70,1680,23.514285714285716,0.9857142857142858,2.02770673486786,0.7191335269228863,attaque_betweenness
93,70,1683,23.571428571428573,0.9857142857142858,2.028985507246377,0.720145656421531,attaque_betweenness
94,70,1683,23.514285714285716,0.9857142857142858,2.029838022165388,0.7191559097992686,attaque_betweenness
95,70,1688,23.6,0.9857142857142858,2.02770673486786,0.720134129286887,attaque_betweenness
96,70,1690,23.62857142857143,0.9857142857142858,2.027280477408355,0.7205837529679808,attaque_betweenness
97,70,1691,23.65714285714286,0.9857142857142858,2.028985507246377,0.7209541410176037,attaque_betweenness
98,70,1691,23.65714285714286,0.9857142857142858,2.028559249786871,0.7211178616044923,attaque_betweenness
99,70,1691,23.65714285714286,0.9857142857142858,2.0336743393009376,0.7211542911648002,attaque_betweenness
